id,name,position,salary,age,department,education_level,years_at_company,work_life_balance,job_satisfaction,performance_rating,left_company
1,Employee_1,HR,114489,64,R&D,High School,3,5,5,4,0
2,Employee_2,Sales,48381,48,R&D,PhD,36,5,3,4,0
3,Employee_3,Manager,63238,51,Finance,Bachelors,6,2,3,2,0
4,Employee_4,Sales,53795,26,Marketing,High School,7,2,4,1,0
5,Employee_5,Sales,135964,34,R&D,Masters,0,5,5,4,0
6,Employee_6,Analyst,102999,43,IT,High School,7,4,4,2,0
7,Employee_7,Manager,89907,36,Marketing,PhD,18,5,1,2,0
8,Employee_8,Manager,49638,45,Finance,High School,16,1,1,2,0
9,Employee_9,Manager,110467,59,Marketing,High School,8,3,5,3,0
10,Employee_10,Sales,82623,22,Marketing,Masters,15,2,1,1,0
11,Employee_11,HR,78492,58,R&D,PhD,36,2,5,2,0
12,Employee_12,Manager,66411,61,IT,Masters,26,4,1,2,0
13,Employee_13,Sales,60534,59,R&D,Bachelors,1,1,2,3,0
14,Employee_14,Analyst,142364,54,IT,PhD,35,5,3,5,0
15,Employee_15,HR,69181,60,IT,High School,11,1,4,3,0
16,Employee_16,Analyst,143069,63,HR,Masters,34,1,5,2,0
17,Employee_17,HR,59996,45,R&D,Masters,30,4,1,1,1
18,Employee_18,Sales,112089,56,Finance,PhD,18,4,2,3,0
19,Employee_19,Engineer,145682,36,Marketing,Masters,25,5,1,2,0
20,Employee_20,HR,123609,38,HR,PhD,35,5,2,1,0
21,Employee_21,Analyst,112666,33,Finance,Bachelors,3,3,4,3,0
22,Employee_22,Sales,69405,57,R&D,PhD,30,1,3,4,0
23,Employee_23,HR,141490,47,IT,PhD,12,5,3,1,0
24,Employee_24,Engineer,111325,54,R&D,Bachelors,38,4,2,2,0
25,Employee_25,Engineer,68930,31,R&D,Bachelors,3,3,1,1,0
26,Employee_26,Manager,57529,21,HR,High School,39,3,3,1,0
27,Employee_27,Manager,93546,33,Finance,Masters,12,4,1,2,0
28,Employee_28,Analyst,47942,50,HR,Bachelors,8,5,5,4,0
29,Employee_29,HR,47548,25,Finance,Bachelors,1,4,1,1,0
30,Employee_30,HR,58296,38,HR,Masters,34,5,5,2,0
31,Employee_31,Manager,91016,34,Marketing,Masters,11,4,5,1,1
32,Employee_32,HR,137780,33,IT,High School,16,4,3,5,0
33,Employee_33,HR,40296,52,IT,High School,3,2,5,4,0
34,Employee_34,Engineer,107945,27,IT,PhD,13,5,1,5,0
35,Employee_35,Manager,99980,28,Marketing,High School,20,1,4,1,0
36,Employee_36,Sales,96782,27,Marketing,Bachelors,7,2,1,4,0
37,Employee_37,Manager,74229,36,IT,Bachelors,32,2,2,2,0
38,Employee_38,Sales,136382,63,IT,Masters,27,2,2,5,0
39,Employee_39,Engineer,93444,51,Finance,High School,2,2,1,4,0
40,Employee_40,Analyst,75036,47,Finance,PhD,13,1,2,4,0
41,Employee_41,HR,79322,53,R&D,PhD,18,2,4,1,0
42,Employee_42,Engineer,67167,49,HR,PhD,5,1,2,5,1
43,Employee_43,HR,91667,28,Finance,PhD,35,1,3,2,0
44,Employee_44,Analyst,134527,53,Finance,Masters,19,2,4,3,0
45,Employee_45,Analyst,123337,61,Finance,High School,0,3,3,1,0
46,Employee_46,Engineer,91468,39,Finance,High School,9,1,3,4,0
47,Employee_47,Analyst,112894,41,Marketing,High School,12,2,4,5,0
48,Employee_48,Sales,93084,61,R&D,High School,11,4,3,3,0
49,Employee_49,Analyst,103138,41,Finance,PhD,10,4,2,4,0
50,Employee_50,HR,62588,45,HR,PhD,35,5,1,5,0
51,Employee_51,HR,102901,62,Finance,Masters,16,1,4,5,0
52,Employee_52,HR,57671,43,Marketing,Masters,28,1,1,3,0
53,Employee_53,HR,123038,31,IT,PhD,2,4,4,4,0
54,Employee_54,Sales,130664,53,IT,Bachelors,28,1,4,3,0
55,Employee_55,Manager,71645,40,R&D,High School,9,1,3,2,0
56,Employee_56,Engineer,47637,45,IT,Masters,18,4,1,1,0
57,Employee_57,HR,40660,46,Finance,PhD,3,2,2,1,0
58,Employee_58,Analyst,147211,60,Marketing,High School,37,4,1,2,0
59,Employee_59,HR,46922,32,R&D,High School,11,3,4,4,0
60,Employee_60,Analyst,133697,52,Finance,PhD,30,4,2,3,0
61,Employee_61,Analyst,84721,53,IT,Bachelors,1,4,3,1,0
62,Employee_62,HR,97256,30,HR,Bachelors,0,2,2,2,0
63,Employee_63,Sales,109506,24,Finance,Masters,16,4,2,5,0
64,Employee_64,Analyst,108943,35,HR,PhD,24,4,1,1,0
65,Employee_65,Analyst,67843,26,HR,Masters,4,2,4,1,0
66,Employee_66,HR,49046,47,R&D,Bachelors,13,4,4,2,0
67,Employee_67,Analyst,129336,25,Marketing,Masters,9,2,4,3,0
68,Employee_68,Analyst,103985,25,IT,Masters,20,3,5,1,0
69,Employee_69,HR,120083,38,IT,Bachelors,24,2,3,3,0
70,Employee_70,HR,143064,48,Finance,High School,34,1,1,2,0
71,Employee_71,Engineer,136925,55,IT,High School,2,1,4,5,0
72,Employee_72,Sales,70346,42,R&D,Bachelors,17,2,2,1,1
73,Employee_73,Sales,128284,54,IT,High School,35,4,5,3,0
74,Employee_74,Analyst,142391,24,Finance,PhD,38,5,3,3,0
75,Employee_75,Sales,131384,38,IT,High School,32,5,4,4,0
76,Employee_76,Analyst,93526,61,Marketing,Bachelors,16,3,5,3,0
77,Employee_77,Engineer,113143,46,HR,PhD,39,3,3,3,0
78,Employee_78,HR,76787,62,HR,Masters,5,5,2,2,0
79,Employee_79,HR,73583,42,HR,Bachelors,33,5,5,3,0
80,Employee_80,HR,52563,53,Marketing,Bachelors,25,2,1,4,1
81,Employee_81,Sales,86060,63,R&D,High School,30,5,3,5,0
82,Employee_82,Engineer,73690,34,Finance,PhD,27,1,5,4,0
83,Employee_83,Sales,134712,51,Marketing,Bachelors,35,3,5,5,0
